EventID,SportID,VenueID,Event,Year,Season
147,5,14,Athletics Men's 100 metres,1972,Summer
148,20,2,Boxing Men's Welterweight,2012,Summer
149,20,11,Boxing Men's Middleweight,2016,Summer
150,16,15,Rowing Men's Quadruple Sculls,1988,Summer
151,16,8,Rowing Men's Double Sculls,1996,Summer
152,16,7,Rowing Men's Quadruple Sculls,2000,Summer
153,16,5,Rowing Men's Coxed Pairs,1984,Summer
154,16,15,Rowing Men's Coxed Pairs,1988,Summer
155,16,1,Rowing Men's Coxed Pairs,1992,Summer
156,16,8,Rowing Men's Coxed Eights,1996,Summer
157,16,21,Rowing Men's Coxed Pairs,1980,Summer
158,5,20,Athletics Men's 400 metres Hurdles,1976,Summer
159,5,20,Athletics Men's 4 x 100 metres Relay,1976,Summer
160,5,21,Athletics Men's 400 metres Hurdles,1980,Summer
161,5,11,Athletics Men's 400 metres,2016,Summer
162,5,8,Athletics Men's Hammer Throw,1996,Summer
163,12,22,Weightlifting Men's Lightweight,1964,Summer
164,5,21,Athletics Men's Long Jump,1980,Summer
165,5,1,Athletics Men's 400 metres Hurdles,1992,Summer
166,12,18,Weightlifting Men's Featherweight,1960,Summer
167,12,22,Weightlifting Men's Featherweight,1964,Summer
168,5,15,Athletics Men's 400 metres,1988,Summer
169,5,15,Athletics Men's 800 metres,1988,Summer
170,22,7,"Cycling Men's Road Race, Individual",2000,Summer
171,23,6,Diving Men's Platform,1952,Summer
172,6,12,Swimming Men's 100 metres Freestyle,2004,Summer
173,12,12,Weightlifting Men's Middleweight,2004,Summer
174,15,7,Hockey Men's Hockey,2000,Summer
175,15,12,Hockey Men's Hockey,2004,Summer
176,15,2,Hockey Men's Hockey,2012,Summer
177,1,6,Basketball Men's Basketball,1952,Summer
178,15,5,Hockey Men's Hockey,1984,Summer
179,15,10,Hockey Men's Hockey,2008,Summer
180,16,2,Rowing Women's Single Sculls,2012,Summer
181,5,10,Athletics Men's 100 metres,2008,Summer
182,6,10,Swimming Men's 50 metres Freestyle,2008,Summer
183,12,7,Weightlifting Women's Featherweight,2000,Summer
184,14,2,Water Polo Women's Water Polo,2012,Summer
185,9,4,Gymnastics Men's Individual All-Around,1900,Summer
186,11,11,Handball Women's Handball,2016,Summer
187,1,7,Basketball Men's Basketball,2000,Summer
188,12,11,Weightlifting Men's Heavyweight,2016,Summer
189,3,12,Football Men's Football,1906,Summer
190,8,8,Sailing Mixed Three Person Keelboat,1996,Summer
191,8,7,Sailing Mixed Three Person Keelboat,2000,Summer
192,18,11,"Equestrianism Mixed Three-Day Event, Individual",2016,Summer
193,18,11,"Equestrianism Mixed Three-Day Event, Team",2016,Summer
194,5,19,"Athletics Men's 5,000 metres",1928,Summer
195,24,20,"Canoeing Men's Canadian Doubles, 1,000 metres",1976,Summer
196,8,10,Sailing Women's Three Person Keelboat,2008,Summer
197,22,11,"Cycling Women's Road Race, Individual",2016,Summer
198,27,4,Golf Women's Individual,1900,Summer
199,28,10,Softball Women's Softball,2008,Summer
200,29,10,Archery Women's Individual,2008,Summer
201,13,2,"Wrestling Men's Heavyweight, Greco-Roman",2012,Summer
202,30,10,Volleyball Men's Volleyball,2008,Summer
203,21,10,Taekwondo Women's Heavyweight,2008,Summer
204,31,10,Synchronized Swimming Women's Duet,2008,Summer
205,31,10,Synchronized Swimming Women's Team,2008,Summer
206,31,2,Synchronized Swimming Women's Team,2012,Summer
207,5,10,"Athletics Men's 5,000 metres",2008,Summer
208,30,11,Volleyball Men's Volleyball,2016,Summer
209,11,1,Handball Men's Handball,1992,Summer
210,11,8,Handball Men's Handball,1996,Summer
211,9,18,Gymnastics Men's Individual All-Around,1960,Summer
212,9,18,Gymnastics Men's Team All-Around,1960,Summer
213,9,18,Gymnastics Men's Floor Exercise,1960,Summer
214,9,18,Gymnastics Men's Horse Vault,1960,Summer
215,9,18,Gymnastics Men's Parallel Bars,1960,Summer
216,9,18,Gymnastics Men's Horizontal Bar,1960,Summer
217,9,18,Gymnastics Men's Rings,1960,Summer
218,9,18,Gymnastics Men's Pommelled Horse,1960,Summer
219,17,1,"Fencing Men's Foil, Individual",1992,Summer
220,21,12,Taekwondo Women's Featherweight,2004,Summer
221,5,22,Athletics Men's Marathon,1964,Summer
222,5,14,Athletics Men's 4 x 400 metres Relay,1972,Summer
223,5,6,"Athletics Men's 10,000 metres",1952,Summer
224,5,5,"Athletics Women's 3,000 metres",1984,Summer
225,23,11,Diving Women's Platform,2016,Summer
226,30,7,Volleyball Men's Volleyball,2000,Summer
227,19,7,"Shooting Men's Air Rifle, 10 metres",2000,Summer
228,3,14,Football Men's Football,1972,Summer
229,5,6,Athletics Men's Marathon,1952,Summer
230,5,18,Athletics Men's Long Jump,1960,Summer
231,20,18,Boxing Men's Featherweight,1960,Summer
232,20,13,Boxing Men's Lightweight,1968,Summer
233,5,14,Athletics Men's 200 metres,1972,Summer
234,31,7,Synchronized Swimming Women's Duet,2000,Summer
235,31,12,Synchronized Swimming Women's Duet,2004,Summer
236,15,1,Hockey Men's Hockey,1992,Summer
237,16,18,Rowing Men's Coxed Eights,1960,Summer
238,14,12,Water Polo Men's Water Polo,2004,Summer
239,17,2,"Fencing Men's Foil, Individual",1948,Summer
240,17,2,"Fencing Men's Foil, Team",1948,Summer
241,17,2,"Fencing Men's epee, Team",1948,Summer
242,17,6,"Fencing Men's Foil, Team",1952,Summer
243,17,6,"Fencing Men's epee, Team",1952,Summer
244,14,18,Water Polo Men's Water Polo,1960,Summer
245,12,20,Weightlifting Men's Flyweight,1976,Summer
246,30,5,Volleyball Men's Volleyball,1984,Summer
247,20,13,Boxing Men's Featherweight,1968,Summer
248,13,2,"Wrestling Men's Featherweight, Freestyle",1948,Summer
249,3,1,Football Men's Football,1992,Summer
250,1,14,Basketball Men's Basketball,1972,Summer
251,14,2,Water Polo Men's Water Polo,1948,Summer
252,6,2,Swimming Men's 100 metres Freestyle,1948,Summer
253,6,2,Swimming Men's 100 metres Backstroke,1948,Summer
254,14,6,Water Polo Men's Water Polo,1952,Summer
255,6,6,Swimming Men's 100 metres Freestyle,1952,Summer
256,5,18,Athletics Men's 100 metres,1960,Summer
257,12,6,Weightlifting Men's Light-Heavyweight,1952,Summer
258,12,18,Weightlifting Men's Light-Heavyweight,1960,Summer
259,11,20,Handball Men's Handball,1976,Summer
260,13,15,"Wrestling Men's Lightweight, Greco-Roman",1988,Summer
261,1,5,Basketball Men's Basketball,1984,Summer
262,1,15,Basketball Men's Basketball,1988,Summer
263,1,20,Basketball Men's Basketball,1976,Summer
264,5,8,Athletics Men's 400 metres,1996,Summer
265,16,22,Rowing Men's Coxed Eights,1964,Summer
266,14,22,Water Polo Men's Water Polo,1964,Summer
267,17,16,"Fencing Men's Sabre, Individual",1936,Summer
268,17,2,"Fencing Men's epee, Individual",1948,Summer
269,17,6,"Fencing Men's epee, Individual",1952,Summer
270,17,6,"Fencing Men's Sabre, Individual",1952,Summer
271,17,6,"Fencing Men's Sabre, Team",1952,Summer
272,20,6,Boxing Men's Welterweight,1952,Summer
273,17,18,"Fencing Men's Foil, Team",1960,Summer
274,17,22,"Fencing Men's Foil, Individual",1964,Summer
275,17,22,"Fencing Men's Foil, Team",1964,Summer
276,13,10,"Wrestling Men's Super-Heavyweight, Greco-Roman",2008,Summer
277,19,10,"Shooting Men's Free Pistol, 50 metres",2008,Summer
278,19,11,"Shooting Men's Air Pistol, 10 metres",2016,Summer
279,19,11,"Shooting Men's Free Pistol, 50 metres",2016,Summer
280,17,12,"Fencing Men's epee, Team",2004,Summer
281,16,7,Rowing Men's Coxless Fours,2000,Summer
282,20,7,Boxing Men's Light-Flyweight,2000,Summer
283,20,7,Boxing Men's Super-Heavyweight,2000,Summer
284,20,20,Boxing Men's Light-Flyweight,1976,Summer
285,13,2,"Wrestling Men's Flyweight, Greco-Roman",1948,Summer
286,19,12,"Shooting Women's Air Rifle, 10 metres",2004,Summer
287,19,10,"Shooting Women's Air Rifle, 10 metres",2008,Summer
288,19,11,"Shooting Women's Air Rifle, 10 metres",2016,Summer
289,20,11,Boxing Men's Lightweight,2016,Summer
290,2,11,Judo Men's Half-Middleweight,2016,Summer
291,19,10,"Shooting Men's Air Pistol, 10 metres",2008,Summer
292,12,2,Weightlifting Men's Middleweight,2012,Summer
293,12,11,Weightlifting Men's Middleweight,2016,Summer
294,5,10,"Athletics Men's 1,500 metres",2008,Summer
295,3,5,Football Men's Football,1984,Summer
296,12,2,Weightlifting Men's Light-Heavyweight,2012,Summer
297,12,11,Weightlifting Men's Middle-Heavyweight,2016,Summer
298,5,6,"Athletics Men's 5,000 metres",1952,Summer
299,19,12,"Shooting Men's Air Rifle, 10 metres",2004,Summer
300,19,10,"Shooting Men's Air Rifle, 10 metres",2008,Summer
301,3,11,Football Men's Football,2016,Summer
302,31,11,Synchronized Swimming Women's Team,2016,Summer
303,13,2,"Wrestling Men's Lightweight, Greco-Roman",2012,Summer
304,2,11,Judo Men's Extra-Lightweight,2016,Summer
305,5,2,Athletics Men's Javelin Throw,2012,Summer
306,9,7,Gymnastics Men's Individual All-Around,2000,Summer
307,9,7,Gymnastics Men's Horse Vault,2000,Summer
308,9,7,Gymnastics Men's Parallel Bars,2000,Summer
309,9,7,Gymnastics Men's Rings,2000,Summer
310,9,7,Gymnastics Men's Pommelled Horse,2000,Summer
311,5,21,"Athletics Men's 5,000 metres",1980,Summer
312,5,1,Athletics Men's 800 metres,1992,Summer
313,30,10,Volleyball Women's Volleyball,2008,Summer
314,30,2,Volleyball Women's Volleyball,2012,Summer
315,13,2,"Wrestling Men's Welterweight, Greco-Roman",2012,Summer
316,13,11,"Wrestling Men's Middleweight, Greco-Roman",2016,Summer
317,5,11,"Athletics Men's 10,000 metres",2016,Summer
318,5,10,"Athletics Men's 3,000 metres Steeplechase",2008,Summer
319,5,2,"Athletics Men's 3,000 metres Steeplechase",2012,Summer
320,5,1,"Athletics Men's 3,000 metres Steeplechase",1992,Summer
321,5,8,"Athletics Men's 3,000 metres Steeplechase",1996,Summer
322,5,15,"Athletics Men's 10,000 metres",1988,Summer
323,5,1,Athletics Men's Marathon,1992,Summer
324,17,19,"Fencing Men's Foil, Individual",1928,Summer
325,17,19,"Fencing Men's Foil, Team",1928,Summer
326,17,16,"Fencing Men's Foil, Individual",1936,Summer
327,17,16,"Fencing Men's Foil, Team",1936,Summer
328,17,16,"Fencing Men's epee, Individual",1936,Summer
329,17,16,"Fencing Men's epee, Team",1936,Summer
330,5,7,"Athletics Men's 10,000 metres",2000,Summer
331,5,12,"Athletics Men's 10,000 metres",2004,Summer
332,5,10,"Athletics Men's 10,000 metres",2008,Summer
333,5,2,Athletics Men's Marathon,2012,Summer
334,13,7,"Wrestling Men's Welterweight, Greco-Roman",2000,Summer
335,13,12,"Wrestling Men's Middleweight, Freestyle",2004,Summer
336,13,10,"Wrestling Men's Middleweight, Freestyle",2008,Summer
337,6,5,Swimming Women's 100 metres Backstroke,1984,Summer
338,6,5,Swimming Women's 200 metres Backstroke,1984,Summer
339,6,5,Swimming Women's 4 x 100 metres Medley Relay,1984,Summer
340,3,20,Football Men's Football,1976,Summer
341,20,2,Boxing Men's Lightweight,2012,Summer
342,13,7,"Wrestling Men's Light-Heavyweight, Freestyle",2000,Summer
343,26,12,Modern Pentathlon Men's Individual,2004,Summer
344,26,15,Modern Pentathlon Men's Individual,1988,Summer
345,26,15,Modern Pentathlon Men's Team,1988,Summer
346,26,1,Modern Pentathlon Men's Individual,1992,Summer
347,26,1,Modern Pentathlon Men's Team,1992,Summer
348,5,8,Athletics Men's 200 metres,1996,Summer
349,30,11,Volleyball Women's Volleyball,2016,Summer
350,20,6,Boxing Men's Bantamweight,1952,Summer
351,5,11,Athletics Women's 200 metres,2016,Summer
352,5,21,Athletics Men's 4 x 400 metres Relay,1980,Summer
353,15,8,Hockey Men's Hockey,1996,Summer
354,32,7,Table Tennis Women's Singles,2000,Summer
355,32,7,Table Tennis Women's Doubles,2000,Summer
356,32,10,Table Tennis Women's Singles,2008,Summer
357,19,8,Shooting Men's Skeet,1996,Summer
358,19,7,Shooting Men's Skeet,2000,Summer
359,6,7,Swimming Men's 50 metres Freestyle,2000,Summer
360,5,19,Athletics Men's 110 metres Hurdles,1928,Summer
361,5,19,Athletics Men's 400 metres Hurdles,1928,Summer
362,12,18,Weightlifting Men's Heavyweight,1960,Summer
363,12,22,Weightlifting Men's Heavyweight,1964,Summer
364,3,21,Football Men's Football,1980,Summer
365,12,21,Weightlifting Men's Light-Heavyweight,1980,Summer
366,5,20,Athletics Men's 200 metres,1976,Summer
367,20,18,Boxing Men's Lightweight,1960,Summer
368,5,1,Athletics Men's 4 x 400 metres Relay,1992,Summer
369,5,15,Athletics Men's Marathon,1988,Summer
370,6,7,Swimming Women's 50 metres Freestyle,2000,Summer
371,14,20,Water Polo Men's Water Polo,1976,Summer
372,19,5,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1984,Summer
373,19,5,"Shooting Men's Rapid-Fire Pistol, 25 metres",1984,Summer
374,22,14,"Cycling Men's Road Race, Individual",1972,Summer
375,5,13,Athletics Men's 400 metres Hurdles,1968,Summer
376,15,18,Hockey Men's Hockey,1960,Summer
377,15,22,Hockey Men's Hockey,1964,Summer
378,5,10,Athletics Women's 100 metres,2008,Summer
379,5,2,Athletics Women's 100 metres,2012,Summer
380,5,18,Athletics Men's Triple Jump,1960,Summer
381,5,18,Athletics Men's High Jump,1960,Summer
382,15,2,Hockey Men's Hockey,1948,Summer
383,13,21,"Wrestling Men's Flyweight, Greco-Roman",1980,Summer
384,23,16,Diving Men's Platform,1936,Summer
385,23,2,Diving Men's Platform,1948,Summer
386,19,8,"Shooting Men's Air Rifle, 10 metres",1996,Summer
387,6,21,Swimming Men's 400 metres Freestyle,1980,Summer
388,6,21,Swimming Men's 100 metres Butterfly,1980,Summer
389,15,6,Hockey Men's Hockey,1952,Summer
390,12,12,Weightlifting Women's Lightweight,2004,Summer
391,5,13,Athletics Men's 100 metres,1968,Summer
392,5,13,Athletics Men's 4 x 100 metres Relay,1968,Summer
393,5,14,Athletics Men's 4 x 100 metres Relay,1972,Summer
394,5,10,Athletics Women's Long Jump,2008,Summer
395,17,2,"Fencing Women's epee, Individual",2012,Summer
396,13,14,"Wrestling Men's Featherweight, Freestyle",1972,Summer
397,6,13,Swimming Men's 100 metres Freestyle,1968,Summer
398,6,13,Swimming Men's 200 metres Freestyle,1968,Summer
399,6,13,Swimming Men's 4 x 100 metres Freestyle Relay,1968,Summer
400,6,13,Swimming Men's 4 x 200 metres Freestyle Relay,1968,Summer
401,6,13,Swimming Men's 4 x 100 metres Medley Relay,1968,Summer
402,6,15,Swimming Men's 200 metres Butterfly,1988,Summer
403,16,12,Rowing Men's Double Sculls,2004,Summer
404,12,1,Weightlifting Men's Middle-Heavyweight,1992,Summer
405,6,15,Swimming Men's 4 x 100 metres Freestyle Relay,1988,Summer
406,6,15,Swimming Men's 4 x 200 metres Freestyle Relay,1988,Summer
407,6,15,Swimming Men's 100 metres Backstroke,1988,Summer
408,6,15,Swimming Men's 200 metres Backstroke,1988,Summer
409,6,15,Swimming Men's 200 metres Individual Medley,1988,Summer
410,6,15,Swimming Men's 4 x 100 metres Medley Relay,1988,Summer
411,5,5,Athletics Men's 100 metres,1984,Summer
412,5,18,Athletics Men's Pole Vault,1960,Summer
413,6,8,Swimming Men's 200 metres Individual Medley,1996,Summer
414,6,8,Swimming Men's 400 metres Individual Medley,1996,Summer
415,6,7,Swimming Men's 400 metres Individual Medley,2000,Summer
416,7,1,Badminton Women's Singles,1992,Summer
417,7,8,Badminton Women's Singles,1996,Summer
418,20,13,Boxing Men's Light-Middleweight,1968,Summer
419,20,14,Boxing Men's Middleweight,1972,Summer
420,25,15,Tennis Men's Singles,1988,Summer
421,20,11,Boxing Men's Heavyweight,2016,Summer
422,13,8,"Wrestling Men's Bantamweight, Freestyle",1996,Summer
423,13,7,"Wrestling Men's Featherweight, Freestyle",2000,Summer
424,20,8,Boxing Men's Lightweight,1996,Summer
425,20,7,Boxing Men's Light-Welterweight,2000,Summer
426,13,2,"Wrestling Men's Super-Heavyweight, Greco-Roman",2012,Summer
427,13,11,"Wrestling Men's Super-Heavyweight, Greco-Roman",2016,Summer
428,13,8,"Wrestling Men's Flyweight, Freestyle",1996,Summer
429,13,7,"Wrestling Men's Bantamweight, Freestyle",2000,Summer
430,5,2,"Athletics Women's 5,000 metres",2012,Summer
431,13,10,"Wrestling Men's Middleweight, Greco-Roman",2008,Summer
432,6,14,Swimming Men's 100 metres Freestyle,1972,Summer
433,12,10,Weightlifting Women's Light-Heavyweight,2008,Summer
434,12,2,Weightlifting Women's Heavyweight,2012,Summer
435,3,2,Football Men's Football,2012,Summer
436,31,2,Synchronized Swimming Women's Duet,2012,Summer
437,5,21,Athletics Men's Discus Throw,1980,Summer
438,5,15,Athletics Men's 110 metres Hurdles,1988,Summer
439,5,1,Athletics Men's 110 metres Hurdles,1992,Summer
440,12,10,Weightlifting Men's Featherweight,2008,Summer
441,12,2,Weightlifting Men's Lightweight,2012,Summer
442,20,12,Boxing Men's Middleweight,2004,Summer
443,21,10,Taekwondo Men's Featherweight,2008,Summer
444,21,2,Taekwondo Men's Welterweight,2012,Summer
445,13,11,"Wrestling Men's Middleweight, Freestyle",2016,Summer
446,2,11,Judo Men's Heavyweight,2016,Summer
447,13,10,"Wrestling Men's Light-Heavyweight, Freestyle",2008,Summer
448,13,2,"Wrestling Men's Light-Heavyweight, Freestyle",2012,Summer
449,22,21,Cycling Men's Sprint,1980,Summer
450,5,1,Athletics Men's Hammer Throw,1992,Summer
451,5,7,Athletics Men's Hammer Throw,2000,Summer
452,22,15,"Cycling Men's Road Race, Individual",1988,Summer
453,22,8,"Cycling Men's Road Race, Individual",1996,Summer
454,20,12,Boxing Men's Bantamweight,2004,Summer
455,5,16,Athletics Men's Hammer Throw,1936,Summer
456,13,18,"Wrestling Men's Lightweight, Freestyle",1960,Summer
457,5,13,Athletics Men's Long Jump,1968,Summer
458,16,16,Rowing Men's Coxed Pairs,1936,Summer
459,33,7,Baseball Men's Baseball,2000,Summer
460,33,10,Baseball Men's Baseball,2008,Summer
461,16,5,Rowing Men's Coxed Fours,1984,Summer
462,16,15,Rowing Men's Coxed Eights,1988,Summer
463,16,1,Rowing Men's Coxed Eights,1992,Summer
464,22,5,"Cycling Women's Road Race, Individual",1984,Summer
465,11,21,Handball Women's Handball,1980,Summer
466,5,1,"Athletics Men's 5,000 metres",1992,Summer
467,5,1,"Athletics Men's 10,000 metres",1992,Summer
468,22,1,"Cycling Men's Road Race, Individual",1992,Summer
469,22,1,Cycling Men's 100 kilometres Team Time Trial,1992,Summer
470,20,15,Boxing Men's Flyweight,1988,Summer
471,17,2,"Fencing Men's Sabre, Individual",2012,Summer
472,17,11,"Fencing Men's Sabre, Individual",2016,Summer
473,3,4,Football Men's Football,1924,Summer
474,30,14,Volleyball Men's Volleyball,1972,Summer
475,30,20,Volleyball Men's Volleyball,1976,Summer
476,34,12,Rhythmic Gymnastics Women's Group,2004,Summer
477,10,19,"Art Competitions Mixed Architecture, Designs For Town Planning",1928,Summer
478,10,19,"Art Competitions Mixed Architecture, Architectural Designs",1928,Summer
